Detector , Descriptor , imgID, TTC Lidar, TTC Camera , Diffrence 
BRISK,ORB,1,12.499,13.3496,0.850579
BRISK,ORB,2,12.8107,17.5374,4.72666
BRISK,ORB,3,17.6329,13.958,-3.67484
BRISK,ORB,4,14.1434,18.3162,4.17273
BRISK,ORB,5,12.5952,21.0993,8.50406
BRISK,ORB,6,13.5847,20.0514,6.46676
BRISK,ORB,7,13.6181,16.7659,3.1478
BRISK,ORB,8,13.2317,17.084,3.85228
BRISK,ORB,9,12.459,13.3044,0.84537
BRISK,ORB,10,12.3311,12.944,0.61292
BRISK,ORB,11,11.4766,13.3945,1.91786
BRISK,ORB,12,10.2122,10.3123,0.100096
BRISK,ORB,13,9.24212,11.7233,2.48122
BRISK,ORB,14,9.51671,11.8114,2.29473
BRISK,ORB,15,8.40956,12.8258,4.41627
BRISK,ORB,16,8.81519,12.1365,3.32134
BRISK,ORB,17,11.365,9.60528,-1.75972
BRISK,ORB,18,8.42521,13.5584,5.13321
