Detector , Descriptor , imgID, TTC Lidar, TTC Camera , Diffrence 
FAST,ORB,1,12.499,11.5494,-0.949638
FAST,ORB,2,12.8107,12.9348,0.124111
FAST,ORB,3,17.6329,21.9118,4.27896
FAST,ORB,4,14.1434,13.1788,-0.964678
FAST,ORB,5,12.5952,20.9733,8.37807
FAST,ORB,6,13.5847,14.5967,1.01197
FAST,ORB,7,13.6181,12.828,-0.790073
FAST,ORB,8,13.2317,12.3528,-0.878954
FAST,ORB,9,12.459,13.4079,0.94887
FAST,ORB,10,12.3311,13.9596,1.6285
FAST,ORB,11,11.4766,13.7878,2.31115
FAST,ORB,12,10.2122,11.1224,0.910258
FAST,ORB,13,9.24212,12.3705,3.12836
FAST,ORB,14,9.51671,11.4158,1.89905
FAST,ORB,15,8.40956,11.4096,3.00001
FAST,ORB,16,8.81519,12.5014,3.68626
FAST,ORB,17,11.365,8.7654,-2.59959
FAST,ORB,18,8.42521,12.3773,3.95205
