Detector , Descriptor , imgID, TTC Lidar, TTC Camera , Diffrence 
ORB,ORB,1,12.499,26.4868,13.9878
ORB,ORB,2,12.8107,9.79369,-3.01703
ORB,ORB,3,17.6329,17.878,0.245166
ORB,ORB,4,14.1434,38.2308,24.0873
ORB,ORB,5,12.5952,28.5454,15.9501
ORB,ORB,6,13.5847,10.5834,-3.00133
ORB,ORB,7,13.6181,75.7626,62.1445
ORB,ORB,8,13.2317,10.657,-2.57471
ORB,ORB,9,12.459,18.651,6.192
ORB,ORB,10,12.3311,16.6469,4.31588
ORB,ORB,11,11.4766,8.86717,-2.60945
ORB,ORB,12,10.2122,-inf,-inf
ORB,ORB,13,9.24212,11.9931,2.75095
ORB,ORB,14,9.51671,23.9099,14.3932
ORB,ORB,15,8.40956,12.9444,4.53484
ORB,ORB,16,8.81519,9.65407,0.83888
ORB,ORB,17,11.365,15.9014,4.53637
ORB,ORB,18,8.42521,24.1067,15.6815
