Detector , Descriptor , imgID, TTC Lidar, TTC Camera , Diffrence 
SIFT,SIFT,1,12.499,11.3744,-1.12461
SIFT,SIFT,2,12.8107,13.5332,0.722493
SIFT,SIFT,3,17.6329,13.0962,-4.5367
SIFT,SIFT,4,14.1434,18.7942,4.65072
SIFT,SIFT,5,12.5952,13.0102,0.414949
SIFT,SIFT,6,13.5847,12.032,-1.55268
SIFT,SIFT,7,13.6181,13.4527,-0.165406
SIFT,SIFT,8,13.2317,14.951,1.71933
SIFT,SIFT,9,12.459,12.7795,0.320484
SIFT,SIFT,10,12.3311,10.6613,-1.66976
SIFT,SIFT,11,11.4766,11.2399,-0.236687
SIFT,SIFT,12,10.2122,10.5344,0.322264
SIFT,SIFT,13,9.24212,9.45976,0.217643
SIFT,SIFT,14,9.51671,10.644,1.12728
SIFT,SIFT,15,8.40956,9.37208,0.962524
SIFT,SIFT,16,8.81519,9.07352,0.258331
SIFT,SIFT,17,11.365,8.69186,-2.67314
SIFT,SIFT,18,8.42521,8.80548,0.380275
